place_id,name,address,city,postal_code,latitude,longitude,rating,review_count,google_url,facility_type,num_courts,indoor_outdoor,phone,website,collected_at,last_updated
ChIJdUx4qXLPGg0Rg0ptjXtb_ac,Albufeira Padel Clube,"Estr. de Ferreiras, 8200-555 Albufeira, Portugal",Ferreiras,,37.1052246,-8.2538623,4.5,127,https://maps.google.com/?cid=12104931959653616259,club,,,925 650 876,https://albufeirapadelclube.pt/,2025-11-02T11:04:33.289952,2025-11-02T11:04:33.289957
ChIJOxbniI4dEA0R9GxsO8BjqR8,Pedras Tenis & Padel Academy (Padel Casa Soul),"Aldeamento Turístico das Pedras da Rainha Cabanas, 8800-051 Tavira, Portugal",Tavira,,37.1385704,-7.603639899999999,4.5,73,https://maps.google.com/?cid=2281464363521699060,club,,,962 680 255,https://www.padelcasasoul.com/tpa,2025-11-02T11:04:35.967934,2025-11-02T11:04:35.967936
ChIJneRMdHC3Gg0R_M3Y7pbpD_8,Browns' Health Club,"Browns Sports Resort, Caminho dos Golfes, Vilamoura, 8125-426 Quarteira, Portugal",Vilamoura,,37.1053696,-8.114800899999999,4.6,22,https://maps.google.com/?cid=18379165438783835644,sports_center,,,289 322 740,https://www.brownssportsresort.com/en/health-club/benefits/,2025-11-02T11:04:41.871559,2025-11-02T11:04:41.871562
ChIJmRLuCifWGg0RzYCiHkjc7aw,Carvoeiro Clube de Ténis,"Rua Vale da Lapa, Mato Serrão, 8400-556 Carvoeiro, Portugal",Carvoeiro,,37.1082356,-8.4834227,4.4,258,https://maps.google.com/?cid=12460857946313752781,sports_center,,,282 358 236,http://www.tenniscarvoeiro.com/,2025-11-02T11:04:38.642604,2025-11-02T11:04:38.642609
ChIJnZwLSWciEA0R2LatMvRn6Sc,Padel Clube V.R.S.A.,"Tv. da Estrada da Mata, 8900-211 Vila Real de Santo António, Portugal",Vila Real De Santo António,,37.1872995,-7.4183981,4.4,67,https://maps.google.com/?cid=2875944135572698840,club,,,281 403 048,http://www.tiepadel.com/padelclubevrsa,2025-11-02T11:04:37.612090,2025-11-02T11:04:37.612094
ChIJXQCX8zSvGg0ROTsygkTyFus,Clube Ténis e Padel de São Brás de Alportel,"Complexo Municipal de Ténis e Padel de, 8150-151 São Brás de Alportel, Portugal",São Brás De Alportel,,37.1576538,-7.883089,4.6,38,https://maps.google.com/?cid=16939993424456727353,club,,,929 386 551,https://www.tietennis.com/tenispadelsaobras,2025-11-02T11:04:37.404847,2025-11-02T11:04:37.404852
ChIJbee_aIC0Gg0RgMl8Nft2gsw,Algarve Tennis and Fitness Club,"Estrada Vale do Lobo, Corga da Zorra, 8135-906 Almancil, Portugal",Vale Do Lobo,,37.06596469999999,-8.0478243,4.6,102,https://maps.google.com/?cid=14736471752015923584,club,,,289 385 028,http://www.algarvetennisandfitness.com/,2025-11-02T11:04:36.990651,2025-11-02T11:04:36.990657
ChIJ7wAy7yzKGg0Rs8jcnVHiPvo,Annabel Croft Tennis & Padel Academy,"8200 594, Pine Cliffs C5, 8200-594 Albufeira, Portugal",Albufeira,,37.093532,-8.1758355,4.8,114,https://maps.google.com/?cid=18032098798206765235,club,,,289 500 100,https://www.annabelcroftholidays.com/pine-cliffs-algarve-tennis/,2025-11-02T11:04:36.783438,2025-11-02T11:04:36.783441
ChIJ4xh35mPNGg0R5fWG2HiFed0,Padel4Move Albufeira,"Hotel Paraiso, 8200-161 Albufeira, Portugal",Albufeira,,37.0905605,-8.2385468,4.8,138,https://maps.google.com/?cid=15958933508639356389,club,,,928 125 890,https://padel4move.com/,2025-11-02T11:04:33.495973,2025-11-02T11:04:33.495978
ChIJFeuxdUa1Gg0RLtXQLCgWn0g,QR PADEL - Padel Quinta do Romão,"Urbanizacao Quinta do Romao, Lote T, Sector 2, 8125-301 Quarteira, Portugal",Quarteira,,37.074604,-8.109168,4.6,26,https://maps.google.com/?cid=5232925653834192174,club,,,962 416 506,https://www.tiepadel.com/qrpadel,2025-11-02T11:04:36.374942,2025-11-02T11:04:36.374946
